               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 108,            0.025618,            0.012053,           0.0032863,             0.76846,             0.87696,             0.82062,              0.5983,            0.023855,           0.0048851,           0.0027416,           0.0078814,           0.0078814,           0.0078814
                 109,            0.025701,            0.012007,           0.0034013,             0.77161,             0.86666,             0.81915,             0.59567,            0.023868,           0.0049057,           0.0027452,           0.0078616,           0.0078616,           0.0078616
                 110,             0.02543,            0.011875,           0.0032806,             0.76828,             0.87472,             0.81836,             0.59553,            0.023875,           0.0049017,           0.0027568,           0.0078418,           0.0078418,           0.0078418
                 111,            0.025444,            0.011948,           0.0034609,             0.76749,              0.8732,             0.81785,             0.59596,            0.023846,           0.0048985,           0.0027581,            0.007822,            0.007822,            0.007822
                 112,            0.025482,            0.011935,           0.0032249,             0.76697,              0.8734,             0.81832,             0.59754,             0.02385,            0.004887,           0.0027582,           0.0078022,           0.0078022,           0.0078022
                 113,            0.025554,            0.012068,           0.0032023,             0.77207,             0.87046,             0.81978,             0.59812,            0.023753,           0.0048805,           0.0027719,           0.0077824,           0.0077824,           0.0077824
                 114,            0.025452,            0.011846,           0.0031936,             0.76627,             0.87203,             0.81972,             0.59913,            0.023699,           0.0048712,           0.0027865,           0.0077626,           0.0077626,           0.0077626
                 115,            0.025581,            0.011989,           0.0034378,             0.76803,             0.87663,             0.82144,             0.59936,            0.023633,           0.0048621,           0.0027947,           0.0077428,           0.0077428,           0.0077428
                 116,            0.025558,            0.011904,           0.0034334,             0.76876,             0.88088,             0.82289,             0.60074,            0.023616,           0.0048479,           0.0027887,            0.007723,            0.007723,            0.007723
                 117,            0.024955,            0.011572,           0.0032766,             0.76711,             0.88219,             0.82382,             0.60119,            0.023624,           0.0048446,           0.0027944,           0.0077032,           0.0077032,           0.0077032
                 118,            0.025141,            0.011826,           0.0030659,             0.76861,             0.88145,             0.82516,             0.60146,            0.023619,           0.0048432,            0.002808,           0.0076834,           0.0076834,           0.0076834
                 119,            0.025174,            0.011851,            0.003222,             0.76706,              0.8859,             0.82574,             0.60381,            0.023586,           0.0048368,           0.0027974,           0.0076636,           0.0076636,           0.0076636
                 120,            0.025262,            0.011934,           0.0034419,             0.77612,             0.87178,             0.82689,             0.60446,             0.02359,           0.0048336,           0.0028075,           0.0076438,           0.0076438,           0.0076438
                 121,            0.025481,            0.012064,           0.0032472,             0.78045,             0.86932,             0.82863,             0.60482,            0.023614,           0.0048337,           0.0028156,            0.007624,            0.007624,            0.007624
                 122,            0.024781,             0.01181,           0.0031652,             0.77066,             0.88326,             0.82734,             0.60399,            0.023596,           0.0048337,           0.0028192,           0.0076042,           0.0076042,           0.0076042
                 123,            0.024905,            0.011659,           0.0030928,             0.77504,             0.87789,             0.82898,             0.60468,            0.023607,           0.0048324,           0.0028175,           0.0075844,           0.0075844,           0.0075844
                 124,            0.024875,            0.011841,           0.0032569,             0.77491,             0.88329,             0.82934,             0.60613,            0.023616,           0.0048354,           0.0028268,           0.0075646,           0.0075646,           0.0075646
                 125,            0.024804,              0.0117,           0.0029888,             0.77564,              0.8742,              0.8293,             0.60631,            0.023591,           0.0048324,           0.0028299,           0.0075448,           0.0075448,           0.0075448
                 126,            0.025047,            0.011663,           0.0030352,             0.77751,             0.87062,             0.82852,             0.60748,             0.02357,           0.0048361,            0.002841,            0.007525,            0.007525,            0.007525
                 127,            0.024654,            0.011718,           0.0031675,              0.7752,              0.8722,             0.82728,             0.60675,            0.023552,           0.0048364,           0.0028429,           0.0075052,           0.0075052,           0.0075052
                 128,            0.024814,            0.011724,           0.0030976,              0.7752,             0.87255,             0.82721,             0.60725,            0.023515,           0.0048299,           0.0028497,           0.0074854,           0.0074854,           0.0074854
                 129,            0.024819,            0.011519,           0.0030101,             0.77532,             0.87664,             0.82848,             0.60792,            0.023483,           0.0048323,           0.0028525,           0.0074656,           0.0074656,           0.0074656
                 130,            0.024731,            0.011655,           0.0029723,             0.78203,             0.86673,              0.8273,             0.60819,            0.023424,           0.0048351,           0.0028556,           0.0074458,           0.0074458,           0.0074458
                 131,            0.024717,            0.011481,             0.00315,             0.78132,             0.86783,             0.82779,             0.60818,              0.0234,           0.0048384,           0.0028673,            0.007426,            0.007426,            0.007426
                 132,            0.024556,            0.011489,           0.0030471,             0.78078,              0.8718,             0.82803,             0.60814,             0.02337,           0.0048417,           0.0028876,           0.0074062,           0.0074062,           0.0074062
                 133,            0.024831,            0.011611,           0.0031661,              0.7767,             0.87459,             0.82843,             0.60802,            0.023335,           0.0048416,           0.0028993,           0.0073864,           0.0073864,           0.0073864
                 134,             0.02454,            0.011486,           0.0031453,             0.77391,             0.87807,             0.82743,             0.60789,             0.02333,           0.0048432,           0.0029095,           0.0073666,           0.0073666,           0.0073666
